2025-11-24 14:57:00,644 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 14:57:00,644 - INFO - 
================================================================================
2025-11-24 14:57:00,645 - INFO - [EP 0] START
2025-11-24 14:57:00,645 - INFO - [EP 0] max_steps = 300
2025-11-24 14:57:01,255 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-1940038.cif
2025-11-24 14:57:01,255 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 14:57:01,262 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 14:57:13,250 - INFO - [EP 0][STEP 71] N=110 | Favg=1.159938 Fmax=3.783636 rew_mean=-0.101159 | replay=6,866 | alpha=1.00000
2025-11-24 14:57:13,387 - INFO - [EP 0][STEP 72] N=110 | Favg=1.166120 Fmax=4.072031 rew_mean=0.033069 | replay=6,958 | alpha=1.00000
2025-11-24 14:57:13,525 - INFO - [EP 0][STEP 73] N=110 | Favg=1.201608 Fmax=3.903543 rew_mean=-0.353569 | replay=7,046 | alpha=1.00000
2025-11-24 14:57:13,663 - INFO - [EP 0][STEP 74] N=110 | Favg=1.205864 Fmax=4.110985 rew_mean=-0.038325 | replay=7,135 | alpha=1.00000
2025-11-24 14:57:13,800 - INFO - [EP 0][STEP 75] N=110 | Favg=1.219819 Fmax=4.048542 rew_mean=-0.001287 | replay=7,230 | alpha=1.00000
2025-11-24 14:57:13,938 - INFO - [EP 0][STEP 76] N=110 | Favg=1.229290 Fmax=4.181973 rew_mean=0.016227 | replay=7,319 | alpha=1.00000
2025-11-24 14:57:14,075 - INFO - [EP 0][STEP 77] N=110 | Favg=1.215406 Fmax=4.251845 rew_mean=0.115025 | replay=7,405 | alpha=1.00000
2025-11-24 14:57:14,212 - INFO - [EP 0][STEP 78] N=110 | Favg=1.206074 Fmax=4.325666 rew_mean=0.396318 | replay=7,504 | alpha=1.00000
2025-11-24 14:57:14,349 - INFO - [EP 0][STEP 79] N=110 | Favg=1.260413 Fmax=4.360253 rew_mean=-0.373051 | replay=7,588 | alpha=1.00000
2025-11-24 14:57:14,487 - INFO - [EP 0][STEP 80] N=110 | Favg=1.260509 Fmax=3.863959 rew_mean=-0.137098 | replay=7,681 | alpha=1.00000
2025-11-24 14:57:14,624 - INFO - [EP 0][STEP 81] N=110 | Favg=1.312196 Fmax=3.861467 rew_mean=-0.695995 | replay=7,773 | alpha=1.00000
2025-11-24 14:57:14,761 - INFO - [EP 0][STEP 82] N=110 | Favg=1.283040 Fmax=3.605126 rew_mean=0.342203 | replay=7,871 | alpha=1.00000
2025-11-24 14:57:14,899 - INFO - [EP 0][STEP 83] N=110 | Favg=1.289700 Fmax=3.884756 rew_mean=-0.160405 | replay=7,958 | alpha=1.00000
2025-11-24 14:57:15,037 - INFO - [EP 0][STEP 84] N=110 | Favg=1.311562 Fmax=3.995308 rew_mean=-0.038189 | replay=8,049 | alpha=1.00000
2025-11-24 14:57:15,174 - INFO - [EP 0][STEP 85] N=110 | Favg=1.376714 Fmax=3.949165 rew_mean=-0.597946 | replay=8,141 | alpha=1.00000
2025-11-24 14:57:15,312 - INFO - [EP 0][STEP 86] N=110 | Favg=1.371359 Fmax=4.320312 rew_mean=0.027319 | replay=8,232 | alpha=1.00000
2025-11-24 14:57:15,450 - INFO - [EP 0][STEP 87] N=110 | Favg=1.361511 Fmax=4.463703 rew_mean=-0.059320 | replay=8,321 | alpha=1.00000
2025-11-24 14:57:15,588 - INFO - [EP 0][STEP 88] N=110 | Favg=1.396541 Fmax=4.238171 rew_mean=-0.258096 | replay=8,414 | alpha=1.00000
2025-11-24 14:57:15,727 - INFO - [EP 0][STEP 89] N=110 | Favg=1.397135 Fmax=4.203993 rew_mean=-0.026074 | replay=8,501 | alpha=1.00000
2025-11-24 14:57:15,865 - INFO - [EP 0][STEP 90] N=110 | Favg=1.411902 Fmax=4.174195 rew_mean=-0.327866 | replay=8,593 | alpha=1.00000
2025-11-24 14:57:16,002 - INFO - [EP 0][STEP 91] N=110 | Favg=1.412248 Fmax=4.087338 rew_mean=0.143944 | replay=8,681 | alpha=1.00000
2025-11-24 14:57:16,140 - INFO - [EP 0][STEP 92] N=110 | Favg=1.417620 Fmax=4.169179 rew_mean=0.110843 | replay=8,764 | alpha=1.00000
2025-11-24 14:57:16,278 - INFO - [EP 0][STEP 93] N=110 | Favg=1.384252 Fmax=4.080605 rew_mean=0.207568 | replay=8,855 | alpha=1.00000
2025-11-24 14:57:16,415 - INFO - [EP 0][STEP 94] N=110 | Favg=1.395244 Fmax=4.428205 rew_mean=-0.307165 | replay=8,951 | alpha=1.00000
2025-11-24 14:57:16,553 - INFO - [EP 0][STEP 95] N=110 | Favg=1.391228 Fmax=4.614114 rew_mean=0.191743 | replay=9,035 | alpha=1.00000
2025-11-24 14:57:16,692 - INFO - [EP 0][STEP 96] N=110 | Favg=1.387953 Fmax=4.650382 rew_mean=0.007428 | replay=9,122 | alpha=1.00000
2025-11-24 14:57:16,830 - INFO - [EP 0][STEP 97] N=110 | Favg=1.396323 Fmax=4.975662 rew_mean=-0.117026 | replay=9,219 | alpha=1.00000
2025-11-24 14:57:16,968 - INFO - [EP 0][STEP 98] N=110 | Favg=1.421299 Fmax=5.059142 rew_mean=-0.237380 | replay=9,314 | alpha=1.00000
2025-11-24 14:57:17,106 - INFO - [EP 0][STEP 99] N=110 | Favg=1.439995 Fmax=5.442395 rew_mean=-0.066371 | replay=9,409 | alpha=1.00000
2025-11-24 14:57:17,244 - INFO - [EP 0][STEP 100] N=110 | Favg=1.457571 Fmax=5.354716 rew_mean=-0.032071 | replay=9,503 | alpha=1.00000
2025-11-24 14:57:17,382 - INFO - [EP 0][STEP 101] N=110 | Favg=1.472797 Fmax=5.092219 rew_mean=-0.155992 | replay=9,593 | alpha=1.00000
2025-11-24 14:57:17,520 - INFO - [EP 0][STEP 102] N=110 | Favg=1.475025 Fmax=5.336198 rew_mean=-0.043449 | replay=9,682 | alpha=1.00000
2025-11-24 14:57:17,659 - INFO - [EP 0][STEP 103] N=110 | Favg=1.468275 Fmax=5.458032 rew_mean=0.219966 | replay=9,775 | alpha=1.00000
2025-11-24 14:57:17,798 - INFO - [EP 0][STEP 104] N=110 | Favg=1.457282 Fmax=5.563531 rew_mean=-0.075104 | replay=9,868 | alpha=1.00000
2025-11-24 14:57:17,936 - INFO - [EP 0][STEP 105] N=110 | Favg=1.476329 Fmax=5.302241 rew_mean=-0.203894 | replay=9,953 | alpha=1.00000
2025-11-24 14:57:18,144 - INFO - [EP 0][STEP 106] N=110 | Favg=1.464620 Fmax=5.013957 rew_mean=-0.114118 | replay=10,048 | alpha=0.99970
2025-11-24 14:57:18,284 - INFO - [EP 0][STEP 107] N=110 | Favg=1.479634 Fmax=4.939722 rew_mean=-0.113712 | replay=10,140 | alpha=0.99970
2025-11-24 14:57:18,422 - INFO - [EP 0][STEP 108] N=110 | Favg=1.487036 Fmax=4.590417 rew_mean=-0.049319 | replay=10,235 | alpha=0.99970
2025-11-24 14:57:18,562 - INFO - [EP 0][STEP 109] N=110 | Favg=1.536347 Fmax=4.533247 rew_mean=-0.379310 | replay=10,322 | alpha=0.99970
2025-11-24 14:57:18,707 - INFO - [EP 0][STEP 110] N=110 | Favg=1.523191 Fmax=4.901933 rew_mean=0.231058 | replay=10,408 | alpha=0.99940
2025-11-24 14:57:18,845 - INFO - [EP 0][STEP 111] N=110 | Favg=1.537381 Fmax=4.691645 rew_mean=-0.256404 | replay=10,497 | alpha=0.99940
2025-11-24 14:57:18,983 - INFO - [EP 0][STEP 112] N=110 | Favg=1.542063 Fmax=4.535995 rew_mean=0.004656 | replay=10,593 | alpha=0.99940
2025-11-24 14:57:19,120 - INFO - [EP 0][STEP 113] N=110 | Favg=1.579484 Fmax=4.777888 rew_mean=-0.186906 | replay=10,681 | alpha=0.99940
