2025-11-24 20:58:50,858 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 20:58:50,858 - INFO - 
================================================================================
2025-11-24 20:58:50,858 - INFO - [EP 0] START
2025-11-24 20:58:50,858 - INFO - [EP 0] max_steps = 300
2025-11-24 20:58:51,401 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-c95d01f.cif
2025-11-24 20:58:51,401 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 20:58:51,436 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 20:58:58,781 - INFO - [EP 0][STEP 51] N=76 | Favg=0.979486 Fmax=3.829870 rew_mean=-0.278854 | ep_buf=3,952 | alpha=1.00000
2025-11-24 20:58:58,883 - INFO - [EP 0][STEP 52] N=76 | Favg=0.969231 Fmax=3.725927 rew_mean=0.334718 | ep_buf=4,028 | alpha=1.00000
2025-11-24 20:58:58,984 - INFO - [EP 0][STEP 53] N=76 | Favg=0.986309 Fmax=3.516286 rew_mean=-0.039174 | ep_buf=4,104 | alpha=1.00000
2025-11-24 20:58:59,085 - INFO - [EP 0][STEP 54] N=76 | Favg=0.977117 Fmax=3.244146 rew_mean=-0.086996 | ep_buf=4,180 | alpha=1.00000
2025-11-24 20:58:59,187 - INFO - [EP 0][STEP 55] N=76 | Favg=0.993263 Fmax=3.130001 rew_mean=-0.189678 | ep_buf=4,256 | alpha=1.00000
2025-11-24 20:58:59,288 - INFO - [EP 0][STEP 56] N=76 | Favg=1.015357 Fmax=2.991165 rew_mean=-0.075121 | ep_buf=4,332 | alpha=1.00000
2025-11-24 20:58:59,390 - INFO - [EP 0][STEP 57] N=76 | Favg=1.010065 Fmax=3.251895 rew_mean=-0.222138 | ep_buf=4,408 | alpha=1.00000
2025-11-24 20:58:59,491 - INFO - [EP 0][STEP 58] N=76 | Favg=1.004862 Fmax=3.305413 rew_mean=0.040480 | ep_buf=4,484 | alpha=1.00000
2025-11-24 20:58:59,593 - INFO - [EP 0][STEP 59] N=76 | Favg=1.023446 Fmax=3.278949 rew_mean=-0.069178 | ep_buf=4,560 | alpha=1.00000
2025-11-24 20:58:59,694 - INFO - [EP 0][STEP 60] N=76 | Favg=1.029701 Fmax=3.315945 rew_mean=-0.163474 | ep_buf=4,636 | alpha=1.00000
2025-11-24 20:58:59,795 - INFO - [EP 0][STEP 61] N=76 | Favg=1.051557 Fmax=3.653193 rew_mean=-0.036880 | ep_buf=4,712 | alpha=1.00000
2025-11-24 20:58:59,897 - INFO - [EP 0][STEP 62] N=76 | Favg=1.062450 Fmax=3.435913 rew_mean=-0.174603 | ep_buf=4,788 | alpha=1.00000
2025-11-24 20:58:59,998 - INFO - [EP 0][STEP 63] N=76 | Favg=1.093990 Fmax=3.348824 rew_mean=-0.088756 | ep_buf=4,864 | alpha=1.00000
2025-11-24 20:59:00,100 - INFO - [EP 0][STEP 64] N=76 | Favg=1.126537 Fmax=3.405017 rew_mean=-0.525481 | ep_buf=4,940 | alpha=1.00000
2025-11-24 20:59:00,201 - INFO - [EP 0][STEP 65] N=76 | Favg=1.105550 Fmax=3.157243 rew_mean=0.518423 | ep_buf=5,016 | alpha=1.00000
2025-11-24 20:59:00,302 - INFO - [EP 0][STEP 66] N=76 | Favg=1.111073 Fmax=3.221252 rew_mean=-0.127826 | ep_buf=5,092 | alpha=1.00000
2025-11-24 20:59:00,404 - INFO - [EP 0][STEP 67] N=76 | Favg=1.113992 Fmax=3.227350 rew_mean=-0.101634 | ep_buf=5,168 | alpha=1.00000
2025-11-24 20:59:00,505 - INFO - [EP 0][STEP 68] N=76 | Favg=1.101893 Fmax=3.126679 rew_mean=0.175927 | ep_buf=5,244 | alpha=1.00000
2025-11-24 20:59:00,606 - INFO - [EP 0][STEP 69] N=76 | Favg=1.115483 Fmax=3.330044 rew_mean=-0.380441 | ep_buf=5,320 | alpha=1.00000
2025-11-24 20:59:00,708 - INFO - [EP 0][STEP 70] N=76 | Favg=1.149726 Fmax=3.430680 rew_mean=-0.106918 | ep_buf=5,396 | alpha=1.00000
2025-11-24 20:59:00,809 - INFO - [EP 0][STEP 71] N=76 | Favg=1.180557 Fmax=3.625377 rew_mean=-0.149168 | ep_buf=5,472 | alpha=1.00000
2025-11-24 20:59:00,911 - INFO - [EP 0][STEP 72] N=76 | Favg=1.174930 Fmax=3.775423 rew_mean=0.211872 | ep_buf=5,548 | alpha=1.00000
2025-11-24 20:59:01,012 - INFO - [EP 0][STEP 73] N=76 | Favg=1.199213 Fmax=3.889662 rew_mean=-0.149326 | ep_buf=5,624 | alpha=1.00000
2025-11-24 20:59:01,114 - INFO - [EP 0][STEP 74] N=76 | Favg=1.221542 Fmax=4.183029 rew_mean=-0.057578 | ep_buf=5,700 | alpha=1.00000
2025-11-24 20:59:01,215 - INFO - [EP 0][STEP 75] N=76 | Favg=1.207569 Fmax=3.989961 rew_mean=0.110158 | ep_buf=5,776 | alpha=1.00000
2025-11-24 20:59:01,317 - INFO - [EP 0][STEP 76] N=76 | Favg=1.244208 Fmax=4.020168 rew_mean=-0.357028 | ep_buf=5,852 | alpha=1.00000
2025-11-24 20:59:01,418 - INFO - [EP 0][STEP 77] N=76 | Favg=1.245448 Fmax=4.099219 rew_mean=-0.002582 | ep_buf=5,928 | alpha=1.00000
2025-11-24 20:59:01,520 - INFO - [EP 0][STEP 78] N=76 | Favg=1.249442 Fmax=4.116036 rew_mean=-0.081657 | ep_buf=6,004 | alpha=1.00000
2025-11-24 20:59:01,621 - INFO - [EP 0][STEP 79] N=76 | Favg=1.241422 Fmax=4.182729 rew_mean=-0.065250 | ep_buf=6,080 | alpha=1.00000
2025-11-24 20:59:01,723 - INFO - [EP 0][STEP 80] N=76 | Favg=1.249442 Fmax=4.360541 rew_mean=-0.106424 | ep_buf=6,156 | alpha=1.00000
2025-11-24 20:59:01,824 - INFO - [EP 0][STEP 81] N=76 | Favg=1.257449 Fmax=4.231664 rew_mean=0.013202 | ep_buf=6,232 | alpha=1.00000
2025-11-24 20:59:01,926 - INFO - [EP 0][STEP 82] N=76 | Favg=1.262061 Fmax=4.224580 rew_mean=-0.149198 | ep_buf=6,308 | alpha=1.00000
2025-11-24 20:59:02,028 - INFO - [EP 0][STEP 83] N=76 | Favg=1.250534 Fmax=4.275175 rew_mean=-0.007483 | ep_buf=6,384 | alpha=1.00000
2025-11-24 20:59:02,130 - INFO - [EP 0][STEP 84] N=76 | Favg=1.249572 Fmax=4.306877 rew_mean=0.008750 | ep_buf=6,460 | alpha=1.00000
2025-11-24 20:59:02,232 - INFO - [EP 0][STEP 85] N=76 | Favg=1.231212 Fmax=4.040698 rew_mean=0.202054 | ep_buf=6,536 | alpha=1.00000
