episode,total_steps,return,steps,done_reason,fmax_last,buffer_size,cif_path
31,1657,-10.433869,39,bond,204.014023,139703,"mofs/train_pool_valid/qmof-fa17d4c.cif"
32,1730,-16.013764,73,bond,393.757172,146955,"mofs/train_pool_valid/qmof-954c057.cif"
33,1816,-18.832932,86,bond,3132.301514,155387,"mofs/train_pool_valid/qmof-78b934a.cif"
34,1884,-15.897575,68,bond,222.803894,159609,"mofs/train_pool_valid/qmof-6313ccd.cif"
35,1940,-12.122829,56,bond,125.159325,165563,"mofs/train_pool_valid/qmof-35e0b44.cif"
36,1983,-13.913265,43,bond,2621.818848,168362,"mofs/train_pool_valid/qmof-4b12f48.cif"
37,2047,-63.155983,64,bond,806.607666,172828,"mofs/train_pool_valid/qmof-7733b97.cif"
38,2089,-46.939915,42,bond,138.576523,175768,"mofs/train_pool_valid/qmof-22ee43c.cif"
39,2130,-40.519219,41,bond,264.934113,179808,"mofs/train_pool_valid/qmof-1ffb434.cif"
40,2185,-53.072698,55,bond,95.242638,184354,"mofs/train_pool_valid/qmof-85e1f38.cif"
41,2220,-35.206491,35,bond,74.610962,186861,"mofs/train_pool_valid/qmof-215da5f.cif"
42,2270,-42.140385,50,bond,2805.488770,191995,"mofs/train_pool_valid/qmof-7ed4e7b.cif"
43,2317,-47.248572,47,bond,1162.394287,197198,"mofs/train_pool_valid/qmof-7a0e225.cif"
44,2355,-43.081927,38,bond,969.124695,200516,"mofs/train_pool_valid/qmof-d74c3da.cif"
45,2404,-42.628584,49,bond,3154.153564,205858,"mofs/train_pool_valid/qmof-5d3e22d.cif"
46,2443,-33.757456,39,bond,27094.103516,209260,"mofs/train_pool_valid/qmof-0f515e2.cif"
47,2481,-50.498578,38,bond,515.491638,213680,"mofs/train_pool_valid/qmof-a37f8d6.cif"
48,2518,-39.376552,37,bond,4896.317383,216856,"mofs/train_pool_valid/qmof-bf8301b.cif"
49,2582,-74.530347,64,bond,2134.009521,221736,"mofs/train_pool_valid/qmof-2ae9d62.cif"
50,2724,-139.465820,142,bond,34153.199219,233928,"mofs/train_pool_valid/qmof-8531dca.cif"
51,2759,-35.866740,35,bond,149.183289,237532,"mofs/train_pool_valid/qmof-1a6c50b.cif"
52,2803,-44.911787,44,bond,670.809570,240764,"mofs/train_pool_valid/qmof-c4d5761.cif"
53,2862,-55.432769,59,bond,967.567200,246494,"mofs/train_pool_valid/qmof-6851f8d.cif"
54,2914,-46.106472,52,bond,121.022179,252490,"mofs/train_pool_valid/qmof-dfe3f39.cif"
55,2958,-35.125697,44,bond,283.015015,256586,"mofs/train_pool_valid/qmof-dc6f906.cif"
56,3000,-55.649444,42,bond,168.623550,260050,"mofs/train_pool_valid/qmof-7fca3ad.cif"
57,3039,-28.207464,39,bond,96.972511,263803,"mofs/train_pool_valid/qmof-ce154fe.cif"
58,3086,-43.030349,47,bond,2859.735352,269397,"mofs/train_pool_valid/qmof-430704b.cif"
59,3125,-41.428620,39,bond,3900.325684,273115,"mofs/train_pool_valid/qmof-fc03278.cif"
60,3160,-29.364405,35,bond,343.082123,277065,"mofs/train_pool_valid/qmof-179b653.cif"
61,3206,-44.912955,46,bond,145.206024,279933,"mofs/train_pool_valid/qmof-1033c27.cif"
62,3265,-65.778863,59,bond,248.647491,285069,"mofs/train_pool_valid/qmof-ec16514.cif"
63,3336,-65.000617,71,bond,2394.429199,291317,"mofs/train_pool_valid/qmof-4fe2b3b.cif"
64,3412,-83.318455,76,bond,4501.759766,300000,"mofs/train_pool_valid/qmof-67389c3.cif"
65,3463,-48.531528,51,bond,2476.644531,300000,"mofs/train_pool_valid/qmof-1acb010.cif"
66,3504,-37.442110,41,bond,2425.743164,300000,"mofs/train_pool_valid/qmof-526eb14.cif"
67,3603,-96.075752,99,bond,1773.259277,300000,"mofs/train_pool_valid/qmof-22b6794.cif"
68,3665,-57.154990,62,bond,52.034321,300000,"mofs/train_pool_valid/qmof-85e55eb.cif"
69,3735,-76.807158,70,bond,252.969574,300000,"mofs/train_pool_valid/qmof-63145b6.cif"
70,3806,-67.442706,71,bond,231.378952,300000,"mofs/train_pool_valid/qmof-a17655f.cif"
71,3846,-32.223973,40,bond,337.906158,300000,"mofs/train_pool_valid/qmof-e225745.cif"
72,3896,-31.853604,50,bond,452.018188,300000,"mofs/train_pool_valid/qmof-80b98b7.cif"
73,3956,-52.099212,60,bond,420.148071,300000,"mofs/train_pool_valid/qmof-38a58d5.cif"
74,4046,-86.933812,90,bond,1365.148071,300000,"mofs/train_pool_valid/qmof-824883b.cif"
75,4092,-46.714739,46,bond,95.885162,300000,"mofs/train_pool_valid/qmof-7d8ce0e.cif"
76,4131,-33.525897,39,bond,151.682434,300000,"mofs/train_pool_valid/qmof-49076f5.cif"
77,4178,-39.119435,47,bond,287.480194,300000,"mofs/train_pool_valid/qmof-efc1075.cif"
78,4215,-44.519323,37,bond,858.985291,300000,"mofs/train_pool_valid/qmof-5e2dc9c.cif"
79,4265,-45.978472,50,bond,173.392776,300000,"mofs/train_pool_valid/qmof-fb59727.cif"
80,4314,-50.435069,49,bond,311.377106,300000,"mofs/train_pool_valid/qmof-f4464ff.cif"
81,4371,-59.691294,57,bond,156.535614,300000,"mofs/train_pool_valid/qmof-e6fc101.cif"
82,4431,-59.282021,60,bond,960.248779,300000,"mofs/train_pool_valid/qmof-181fecb.cif"
83,4511,-88.114066,80,bond,345.163849,300000,"mofs/train_pool_valid/qmof-d96997b.cif"
84,4555,-40.926567,44,bond,1970.079102,300000,"mofs/train_pool_valid/qmof-e203bf0.cif"
85,4607,-51.778168,52,bond,2979.617188,300000,"mofs/train_pool_valid/qmof-3b788a6.cif"
86,4623,-25.626114,16,bond,1224.366089,300000,"mofs/train_pool_valid/qmof-bedb824.cif"
87,4723,-93.623293,100,bond,1192.762329,300000,"mofs/train_pool_valid/qmof-5692e6a.cif"
88,4780,-54.922803,57,bond,808.772522,300000,"mofs/train_pool_valid/qmof-38fda8a.cif"
89,4828,-46.020180,48,bond,2151.000000,300000,"mofs/train_pool_valid/qmof-a45ca63.cif"
90,4867,-39.962217,39,bond,160.068985,300000,"mofs/train_pool_valid/qmof-85aeb56.cif"
91,4901,-28.402060,34,bond,761.196960,300000,"mofs/train_pool_valid/qmof-5f7c6d5.cif"
92,4945,-44.639154,44,bond,3086.770996,300000,"mofs/train_pool_valid/qmof-e387857.cif"
93,4994,-38.671574,49,bond,3161.674316,300000,"mofs/train_pool_valid/qmof-f5a8443.cif"
94,5065,-60.267673,71,bond,2117.973633,300000,"mofs/train_pool_valid/qmof-c6d5b12.cif"
95,5111,-36.480512,46,bond,778.516968,300000,"mofs/train_pool_valid/qmof-4cdc447.cif"
96,5188,-73.817849,77,bond,12916.146484,300000,"mofs/train_pool_valid/qmof-f491166.cif"
97,5228,-29.490934,40,bond,263.459686,300000,"mofs/train_pool_valid/qmof-73b0d64.cif"
98,5288,-48.252142,60,bond,3462.414062,300000,"mofs/train_pool_valid/qmof-13ca6e3.cif"
99,5344,-42.910264,56,bond,759.716980,300000,"mofs/train_pool_valid/qmof-5083a07.cif"
100,5390,-36.101701,46,bond,1694.796753,300000,"mofs/train_pool_valid/qmof-0bbbcb5.cif"
